CA
Present Files
20200629,ORDER,06-29-2020 03:00:10,17216
20200629,CANCEL_ORD,06-29-2020 03:00:00,1
20200629,INVOICE,06-29-2020 03:00:00,1
BR
Present Files
20200629,ORDER,06-28-2020 11:15:02,1
20200629,CANCEL_ORD,06-28-2020 11:15:03,1
20200629,INVOICE,06-28-2020 11:15:03,1
MX
Present Files
20200629,ORDER,,,False
20200629,CANCEL_ORD,,,False
20200629,INVOICE,,,False
CH
Present Files
20200629,ORDER,,,False
20200629,CANCEL_ORD,,,False
20200629,INVOICE,,,False
