CA
Present Files
20200314,ORDER,03-14-2020 03:00:16,17670
20200314,CANCEL_ORD,03-14-2020 03:00:01,1
20200314,INVOICE,03-14-2020 03:00:01,170
BR
Present Files
20200314,ORDER,03-13-2020 11:15:02,1
20200314,CANCEL_ORD,03-13-2020 11:15:03,1
20200314,INVOICE,03-13-2020 11:15:04,82
MX
Present Files
20200314,ORDER,03-14-2020 11:15:03,1461
20200314,CANCEL_ORD,03-14-2020 11:15:02,1
20200314,INVOICE,03-14-2020 11:15:03,1
CH
Present Files
20200314,ORDER,,,False
20200314,CANCEL_ORD,03-13-2020 01:00:03,5430
20200314,INVOICE,03-13-2020 01:00:04,22
