CA
Present Files
20191102,ORDER,11-02-2019 03:00:19,18966
20191102,CANCEL_ORD,11-02-2019 03:00:00,2
20191102,INVOICE,11-02-2019 03:00:01,299
BR
Present Files
20191102,ORDER,,,False
20191102,CANCEL_ORD,,,False
20191102,INVOICE,,,False
MX
Present Files
20191102,ORDER,,,False
20191102,CANCEL_ORD,,,False
20191102,INVOICE,,,False
CH
Present Files
20191102,ORDER,,,False
20191102,CANCEL_ORD,11-01-2019 01:15:03,5266
20191102,INVOICE,11-01-2019 01:15:04,15
